id,name,specialization,clinic_id,clinic_name,experience_years,qualification,available_days,available_time_start,available_time_end,consultation_fee,rating,languages,bio,is_active
DOC001,Dr. Ananya Sharma,General Medicine,CLN001,MediCare Central Clinic,15,MBBS MD,"Mon,Tue,Wed,Thu,Fri,Sat,Sun",09:00,20:00,500,4.8,"English,Hindi,Tamil","Experienced general physician specializing in preventive medicine and chronic disease management.",true
DOC002,Dr. Rajesh Kumar,Cardiology,CLN001,MediCare Central Clinic,20,MBBS MD DM Cardiology,"Mon,Tue,Wed,Thu,Fri,Sat",10:00,19:00,1200,4.9,"English,Hindi","Leading cardiologist with expertise in interventional cardiology and heart failure management.",true
DOC003,Dr. Priya Nair,Dermatology,CLN002,HealthFirst Skin & Hair Clinic,10,MBBS MD Dermatology,"Mon,Tue,Wed,Thu,Fri,Sat,Sun",09:00,18:00,800,4.7,"English,Hindi,Malayalam","Specialist in cosmetic dermatology, acne treatment, and hair restoration.",true
DOC004,Dr. Mohammed Ismail,Orthopedics,CLN003,BoneWell Orthopedic Center,18,MBBS MS Orthopedics,"Mon,Tue,Wed,Thu,Fri,Sat",08:00,19:00,1000,4.6,"English,Hindi,Urdu","Expert in joint replacement, sports injuries, and spinal disorders.",true
DOC005,Dr. Sneha Reddy,Pediatrics,CLN004,TinyTots Children Hospital,12,MBBS MD Pediatrics,"Mon,Tue,Wed,Thu,Fri,Sat,Sun",09:00,20:00,600,4.9,"English,Hindi,Telugu","Caring pediatrician specializing in newborn care, vaccinations, and childhood development.",true
DOC006,Dr. Arun Menon,ENT,CLN001,MediCare Central Clinic,14,MBBS MS ENT,"Mon,Tue,Wed,Thu,Fri,Sat",10:00,19:00,700,4.5,"English,Hindi,Malayalam","ENT specialist with expertise in sinus surgery, hearing disorders, and voice problems.",true
DOC007,Dr. Kavitha Iyer,Gynecology,CLN005,Women's Wellness Center,16,MBBS MD Obstetrics & Gynecology,"Mon,Tue,Wed,Thu,Fri,Sat",09:00,18:00,900,4.8,"English,Hindi,Tamil","Women's health expert specializing in high-risk pregnancies and minimally invasive surgery.",true
DOC008,Dr. Vikram Singh,Psychiatry,CLN006,MindCare Mental Health Clinic,13,MBBS MD Psychiatry,"Mon,Tue,Wed,Thu,Fri,Sat,Sun",10:00,19:00,1000,4.7,"English,Hindi","Mental health specialist focusing on anxiety, depression, and stress management.",true
DOC009,Dr. Lakshmi Venkatesh,Ophthalmology,CLN007,ClearVision Eye Center,11,MBBS MS Ophthalmology,"Mon,Tue,Wed,Thu,Fri,Sat,Sun",09:00,18:00,650,4.6,"English,Hindi,Kannada","Eye care specialist with expertise in cataract surgery and LASIK procedures.",true
DOC010,Dr. Sanjay Patel,Dentistry,CLN008,SmileBright Dental Clinic,9,BDS MDS Orthodontics,"Mon,Tue,Wed,Thu,Fri,Sat,Sun",09:00,21:00,400,4.8,"English,Hindi,Gujarati","Expert dentist specializing in orthodontics, implants, and cosmetic dentistry.",true
DOC011,Dr. Fatima Khan,Neurology,CLN001,MediCare Central Clinic,17,MBBS MD DM Neurology,"Mon,Tue,Wed,Thu,Fri,Sat",10:00,18:00,1500,4.9,"English,Hindi,Urdu","Neurologist specializing in stroke management, epilepsy, and movement disorders.",true
DOC012,Dr. Arjun Nambiar,Gastroenterology,CLN009,DigestCare GI Clinic,14,MBBS MD DM Gastroenterology,"Mon,Tue,Wed,Thu,Fri,Sat",09:00,17:00,1100,4.7,"English,Hindi,Malayalam","GI specialist with expertise in endoscopy, liver diseases, and IBD management.",true
